Date,K,C_mid_px,P_mid_px
7/1/2022,390,23.99,5.205
7/1/2022,391,23.205,5.435
7/1/2022,392,22.435,5.685
7/1/2022,392.5,22.055,5.805
7/1/2022,393,21.67,5.93
7/1/2022,394,20.925,6.185
7/1/2022,395,20.17,6.455
7/1/2022,396,19.43,6.735
7/1/2022,397,18.715,7.02
7/1/2022,397.5,18.345,7.165
7/1/2022,398,17.985,7.315
7/1/2022,399,17.28,7.62
7/1/2022,400,16.58,7.945
7/1/2022,401,15.905,8.27
7/1/2022,402,15.235,8.62
7/1/2022,402.5,14.905,8.79
7/1/2022,403,14.58,8.97
7/1/2022,404,13.94,9.34
7/1/2022,405,13.31,9.72
7/1/2022,406,12.695,10.1
7/1/2022,407,12.09,10.515
7/1/2022,407.5,11.795,10.725
7/1/2022,408,11.495,10.935
7/1/2022,409,10.925,11.375
7/1/2022,410,10.35,11.815
7/1/2022,411,9.805,12.275
7/1/2022,412,9.29,12.78
7/1/2022,413,8.775,13.265
7/1/2022,414,8.275,13.775
7/1/2022,415,7.8,14.305
7/1/2022,416,7.32,14.85
7/1/2022,417,6.88,15.41
7/1/2022,418,6.45,15.975
7/1/2022,419,6.025,16.53
7/1/2022,420,5.625,17.13
7/1/2022,421,5.25,17.755
7/1/2022,422,4.88,18.4
